,시설명,소재지,시설장,전화번호,운영법인,원본 소재지,lat,lon
33,늘푸른집,"남구 앞산순환로89길 82, 대영빌 301호",정병주,621-1502,"사)한국지적발달장애인,복지협회",남구 앞산순환로89길 82 대영빌 301호,35.8329563,128.5735417
34,보금자리 공동생활가정,"남구 현충로7길 29-1, 대명하이츠 303호",오정한,657-0622,"사)한국지적발달장애인,복지협회 남부지부",남구 현충로7길 29-1 대명하이츠 303호,35.8348913,128.5766888
35,무지개그룹홈,"남구 현충로18길 11, 502호",전재수,657-0122,"사)한국지적발달장애인,복지협회 달성군지부","남구 현충로18길 11, 502호",35.8401273,128.5822031
36,기쁨의집,"남구 앞산순환로81길 56-5, 캐슬하이츠1405동 502호",이정식,626-2220,"사)한국지적발달장애인,복지협회 달서구지부",남구 앞산순환로81길 56-5 캐슬하이츠1405동 502호,35.8335728,128.5702747
37,주황무지개그룹홈 공동생활가정,"남구 안지랑로10길 6, 501호 (대명동,파라다이스)",최원현,644-2356,사)한국지적발달장애인,"남구 안지랑로 10길 6, 501호 (대명동,파라다이스)",35.834126,128.5714108
38,꿈여울 공동생활가정,남구 두류공원로 43,이경순,653-8520,(사복)청인재단,"남구 두류공원로19길 43, 201호",35.8393762,128.5762463
39,맑은소리A,"남구 안지랑로7길 11, 205호(대명동)",노봉남,,사)한국지적발달장애인,"남구 안지랑로7길 11, 205호(대명동)",35.8335648,128.5686721
40,반석의 집,북구 검단동로4길 22,장윤채,721-7726,사)반석복지회,북구 검단동로4길 22,35.9132197,128.6263795
41,참일꾼의 집,"수성구 효행로 24, 6동403호 (만촌동,럭키골든아파트)",이종균,742-3480,(사복)아시아 복지재단,"수성구 효행로 24, 6동403호 (만촌동,럭키골든아파트)",35.8781483,128.6496109
42,청인공동생활가정,수성구 고산로 70 ,이근영,792-6065,(사복)청인재단,수성구 고산로 70 청솔타운 216동 1107호,35.8418382,128.7053567
43,들안길 공동생활가정,"수성구 청수로20길 24-9, 301호 (두산동,아트하우스)",이응수,070-8125- 0124,사)한국지적발달장애인,"수성구 청수로20길 24-9, 301호 (두산동,아트하우스)",35.8401973,128.6191503
44,하은의집,"달서구 월배로80길 86, 장인가 502호",권애경,621-0226,사)한국지적발달장애인,"달서구 월배로80길 86, 장인가 502호",35.8281804,128.5535521
45,느티나무 공동생활가정,달서구 감삼길 26-10,이응수,070-8236-0123,사)한국지적발달장애인,달서구 감삼길 26-10 나무향기빌라 502호,35.8498232,128.543675
